id,user_story,expected_behavior,status,test_refs,errors_found,retest_result
MM-WEB-001,"Como visitante quiero introducir fecha y país","La aplicación valida dos datos y genera una perspectiva en menos de un minuto",passed,tests/feature-stories.mjs,"El formulario anterior pertenecía al panel de widgets y se sustituyó",passed
MM-WEB-002,"Como visitante quiero entender la incertidumbre","El resultado muestra un horizonte central y un rango explícito de más o menos siete años",passed,tests/feature-stories.mjs,"La primera versión mostraba falsa precisión y se añadió el rango",passed
MM-WEB-003,"Como visitante quiero ver el tiempo a escala humana","El resultado traduce el horizonte a años semanas días y una cuadrícula de cien años",passed,tests/feature-stories.mjs,"La cuenta a segundos dominaba el concepto y se eliminó del flujo web",passed
MM-WEB-004,"Como visitante quiero volver a una acción concreta","Puedo guardar editar completar y eliminar una intención de hasta ciento sesenta caracteres",passed,tests/feature-stories.mjs,"El boceto no conectaba la perspectiva con una acción y se añadió la intención",passed
MM-WEB-005,"Como visitante quiero conservar el resultado localmente","El perfil y la intención se recuperan al volver en el mismo navegador",passed,tests/feature-stories.mjs,"Se separó el esquema web del perfil nativo heredado",passed
MM-WEB-006,"Como visitante quiero mantener mi privacidad","El cálculo no requiere cuenta analítica backend ni envío de datos personales",passed,tests/feature-stories.mjs,"Se eliminó del flujo web cualquier dato de salud o estilo de vida",passed
MM-WEB-007,"Como visitante quiero corregir entradas erróneas","Fechas inválidas futuras o de más de ciento veinte años muestran un error anunciado",passed,tests/feature-stories.mjs,"El cálculo heredado aceptaba fechas futuras y ahora las rechaza",passed
MM-WEB-008,"Como visitante quiero borrar mis datos","Una confirmación elimina perfil e intención del almacenamiento local",passed,tests/feature-stories.mjs,"El boceto carecía de una acción de borrado completa",passed
MM-WEB-009,"Como visitante quiero compartir la idea sin exponerme","El resumen copiado omite la fecha de nacimiento y explica que no es una predicción",passed,tests/feature-stories.mjs,"Se definió un texto neutro y seguro para el portapapeles",passed
MM-WEB-010,"Como visitante con teclado quiero completar el flujo","La página incluye salto al contenido etiquetas errores anunciados y orden semántico",passed,tests/feature-stories.mjs,"Se añadieron controles semánticos y estados accesibles",passed
MM-WEB-011,"Como visitante móvil quiero usar la aplicación","La interfaz reordena formulario resultado cuadrícula y tarjetas en pantallas estrechas",passed,tests/feature-stories.mjs,"El panel anterior no era una experiencia web móvil completa",passed
MM-WEB-012,"Como evaluador quiero comprobar el propósito y los límites","El producto explica problema método fuente privacidad utilidad y exclusiones técnicas",passed,tests/feature-stories.mjs,"La documentación se alineó con el criterio de utilidad de Racks",passed
